RECEIVE: [message] 0; [global] 2018-03-01 21:43:04.146624; [queue length] 1; [logical clock time] 1
RECEIVE: [message] 2; [global] 2018-03-01 21:43:05.147833; [queue length] 3; [logical clock time] 2
RECEIVE: [message] 1; [global] 2018-03-01 21:43:06.149012; [queue length] 4; [logical clock time] 3
RECEIVE: [message] 4; [global] 2018-03-01 21:43:07.150214; [queue length] 7; [logical clock time] 4
RECEIVE: [message] 3; [global] 2018-03-01 21:43:08.151409; [queue length] 9; [logical clock time] 5
RECEIVE: [message] 6; [global] 2018-03-01 21:43:09.152603; [queue length] 11; [logical clock time] 6
RECEIVE: [message] 7; [global] 2018-03-01 21:43:10.153795; [queue length] 11; [logical clock time] 7
RECEIVE: [message] 8; [global] 2018-03-01 21:43:11.154994; [queue length] 11; [logical clock time] 8
RECEIVE: [message] 9; [global] 2018-03-01 21:43:12.156190; [queue length] 14; [logical clock time] 9
